stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
8220DB000405,405,Nassau Street,,53.3424816891816,-6.2556043726643,,,,
8220DB000406,406,Nassau Street,,53.342606,-6.256125,,,,
8220DB000407,407,Custom House,,53.348335,-6.253893,,,,
8220DB000408,408,Merrion Square North,,53.3409707826238,-6.25001923957642,,,,
8220DB000409,409,Holles Street,,53.3401367313169,-6.24769559556976,,,,
8220DB000410,410,Mount Street Lower,,53.338814,-6.24389,,,,
8220DB000411,411,Mount Street Bridge,,53.338117,-6.241772,,,,
8220DB000412,412,Haddington Road,,53.335256,-6.237279,,,,
8220DB000413,413,Lansdowne Park,,53.334094,-6.236546,,,,
8220DB000414,414,Lansdowne Road,,53.331574,-6.234473,,,,
8220DB000415,415,American Embassy,,53.330338,-6.232948,,,,
8220DB000416,416,RDS Ballsbridge,,53.3286399201175,-6.22936956914703,,,,
8220DB000417,417,Merrion Road,,53.3277,-6.22597,,,,
8220DB000418,418,British Embassy,,53.32572,-6.223395,,,,
8220DB000419,419,Shrewsbury Park,,53.323995,-6.22045,,,,
8220DB000420,420,Merlyn Road,,53.321911,-6.217504,,,,
8220DB000421,421,Merrion View Avenue,,53.3200051794214,-6.21449112042242,,,,
8220DB000422,422,St Vincent's Hospital,,53.318064191863,-6.21032428070782,,,,
8220DB000423,423,Herbert Avenue,,53.317149,-6.207406,,,,
8220DB000424,424,Merrion Gates,,53.315394,-6.203727,,,,
8220DB000476,476,Merrion Gates,,53.315751,-6.204763,,,,
8220DB000477,477,Herbert Avenue,,53.316863,-6.206952,,,,
8220DB000478,478,St Vincent's Hospital,,53.3181142989155,-6.21126782530888,,,,
8220DB000479,479,Merrion Centre,,53.319144,-6.213401,,,,
8220DB000480,480,Netherlands Embassy,,53.32085,-6.216287,,,,
8220DB000481,481,Wanderers FC,,53.322761,-6.21883,,,,
8220DB000482,482,Shrewsbury Road,,53.324728,-6.221965,,,,
8220DB000483,483,British Embassy,,53.325944,-6.223972,,,,
8220DB000485,485,RDS Ballsbridge,,53.328252,-6.228635,,,,
8220DB000486,486,RDS Ballsbridge,,53.328329,-6.228992,,,,
8220DB000487,487,American Embassy,,53.330855,-6.233902,,,,
8220DB000488,488,Lansdowne Park,,53.333099,-6.236077,,,,
8220DB000489,489,St Mary's Road South,,53.334942,-6.237352,,,,
8220DB000490,490,Haddington Road,,53.336574,-6.238907,,,,
8220DB000491,491,Mount Street Bridge,,53.337814,-6.241333,,,,
8220DB000492,492,Mount Street Lower,,53.338585,-6.243614,,,,
8220DB000493,493,Holles Street,,53.3398534163774,-6.24737682273898,,,,
8220DB000494,494,Clare Street,,53.3414355833565,-6.25168225233917,,,,
8220DB000495,495,Pearse Station,,53.343591,-6.249747,,,,
8220DB000496,496,Busáras,,53.3494968761341,-6.25222357868164,,,,
8220DB000497,497,Connolly Station,,53.350526,-6.250694,,,,
8220DB000499,499,Summerhill Parade,,53.35745,-6.249089,,,,
8220DB000500,500,Ballybough Road,,53.359036,-6.246289,,,,
8220DB000501,501,Clonliffe Avenue,,53.360706,-6.243696,,,,
8220DB000509,509,Clonliffe Avenue,,53.360601,-6.243325,,,,
8220DB000510,510,Ballybough Road,,53.359189,-6.245712,,,,
8220DB000511,511,Summerhill Parade,,53.357516,-6.248635,,,,
8220DB000513,513,Summerhill,,53.355212,-6.253973,,,,
8220DB000515,515,Five Lamps,,53.35439,-6.2472,,,,
8220DB000516,516,Newcomen Bridge,,53.35621,-6.244942,,,,
8220DB000518,518,Nottingham Street,,53.3589041624283,-6.2409909439451,,,,
8220DB000519,519,North Strand Fire Station,,53.360339,-6.239535,,,,
8220DB000522,522,Fairview,,53.363207,-6.2356,,,,
8220DB000523,523,Marino Mart,,53.364355,-6.231308,,,,
8220DB000525,525,Howth Road,,53.3649608735109,-6.22633091116316,,,,
